Num	lon	lat
1	0.73344	0.27775
1	0.82584	0.27775
1	0.91824	0.27775
1	1.0106	0.27775
1	1.103	0.27775
1	1.1954	0.27775
1	1.2878	0.27775
1	1.3802	0.27775
1	1.4726	0.27775
1	1.565	0.27775
1	1.6574	0.27775
1	1.7498	0.27775
1	1.8422	0.27775
1	1.9346	0.27775
1	2.027	0.27775
1	2.1194	0.27775
1	2.2118	0.27775
1	2.3042	0.27775
1	2.3966	0.27775
1	2.489	0.27775
1	2.5814	0.27775
1	2.6738	0.27775
1	2.7662	0.27775
1	2.8586	0.27775
1	2.951	0.27775
1	3.0434	0.27775
1	3.1358	0.27775
1	3.2282	0.27775
1	3.3206	0.27775
1	3.413	0.27775
1	3.5054	0.27775
1	3.5978	0.27775
1	3.6902	0.27775
1	3.7826	0.27775
1	3.875	0.27775
1	3.9674	0.27775
1	4.0598	0.27775
1	4.1522	0.27775
1	4.2446	0.27775
1	4.337	0.27775
1	4.4294	0.27775
1	4.5218	0.27775
1	4.6142	0.27775
1	4.7066	0.27775
1	4.799	0.27775
